model,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.45751633986928103,0.4665551839464883,0.44711538461538464,0.4566284779050737,0.47344684829059824
CNN,0.8433333333333334,0.8249211356466877,0.8716666666666667,0.8476499189627228,0.9420722222222224
AST,0.8513071895424836,0.836890243902439,0.8798076923076923,0.8578125,0.9513928952991453
