epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5516666769981384,0.5660545825958252,0.0010000000474974513,0.7491382956504822,0.5537028908729553,0.5327083468437195,0.503333330154419,0.5595680475234985,0.6927906274795532,0.5021276473999023,0.7866666913032532
1,0.6130208373069763,0.6509477496147156,0.0010000000474974513,0.674797534942627,0.6160924434661865,0.5997916460037231,0.621666669845581,0.6858277320861816,0.6407380104064941,0.6834170818328857,0.4533333480358124
2,0.6670833230018616,0.7420541048049927,0.0010000000474974513,0.5969018340110779,0.6723989844322205,0.6516666412353516,0.6258333325386047,0.7927625179290771,0.7253478169441223,0.8832487463951111,0.28999999165534973
3,0.7151041626930237,0.8099020719528198,0.0010000000474974513,0.5174339413642883,0.7111883759498596,0.7243750095367432,0.6625000238418579,0.7849597334861755,0.6323078870773315,0.751937985420227,0.48500001430511475
4,0.7489583492279053,0.8509641289710999,0.0010000000474974513,0.46189916133880615,0.750629186630249,0.7456250190734863,0.6883333325386047,0.8265277743339539,0.5965263247489929,0.7665094137191772,0.5416666865348816
5,0.7671874761581421,0.874884307384491,0.0010000000474974513,0.4251619875431061,0.7665765881538391,0.7683333158493042,0.7666666507720947,0.8908764123916626,0.4280373752117157,0.8571428656578064,0.6399999856948853
6,0.7795833349227905,0.8871105909347534,0.0010000000474974513,0.4024384915828705,0.7755646705627441,0.7868750095367432,0.7124999761581421,0.8528181314468384,0.6196534633636475,0.8551532030105591,0.5116666555404663
7,0.7904166579246521,0.8985568284988403,0.0010000000474974513,0.3845658302307129,0.7912662029266357,0.7889583110809326,0.7850000262260437,0.9076972007751465,0.4336499571800232,0.7192307710647583,0.9350000023841858
8,0.8033333420753479,0.9085797071456909,0.0010000000474974513,0.3659811019897461,0.8023256063461304,0.8050000071525574,0.7950000166893005,0.9161499738693237,0.380659282207489,0.851190447807312,0.7149999737739563
9,0.8161458373069763,0.9148023128509521,0.0010000000474974513,0.3565066158771515,0.8184679746627808,0.8125,0.7225000262260437,0.8854736089706421,0.5362557172775269,0.8414322137832642,0.5483333468437195
10,0.823645830154419,0.9217925071716309,0.0010000000474974513,0.3390864431858063,0.8269838094711304,0.8185416460037231,0.57833331823349,0.812988817691803,1.2441033124923706,0.9700000286102295,0.1616666615009308
11,0.8218749761581421,0.9244621992111206,0.0010000000474974513,0.3342570662498474,0.8291435837745667,0.8108333349227905,0.7558333277702332,0.8621458411216736,0.49184727668762207,0.7440381646156311,0.7799999713897705
12,0.8372916579246521,0.9336114525794983,0.0005000000237487257,0.31290939450263977,0.8409856557846069,0.8318750262260437,0.737500011920929,0.898895800113678,0.5322630405426025,0.8861788511276245,0.5450000166893005
13,0.8422916531562805,0.9376524686813354,0.0005000000237487257,0.3053452670574188,0.8453131318092346,0.8379166722297668,0.8374999761581421,0.9394083619117737,0.29516464471817017,0.8209191560745239,0.8633333444595337
14,0.8445833325386047,0.9411419630050659,0.0005000000237487257,0.2971091568470001,0.845158576965332,0.84375,0.8391666412353516,0.9403124451637268,0.29569709300994873,0.8733944892883301,0.7933333516120911
15,0.8535416722297668,0.9453487992286682,0.0005000000237487257,0.28709420561790466,0.854724109172821,0.8518750071525574,0.7900000214576721,0.9271777272224426,0.3763541281223297,0.908450722694397,0.6449999809265137
16,0.854479193687439,0.9456139802932739,0.0005000000237487257,0.28664451837539673,0.8551450371742249,0.8535416722297668,0.8199999928474426,0.9362916946411133,0.33011922240257263,0.8918367624282837,0.7283333539962769
17,0.8630208373069763,0.9523409605026245,0.0002500000118743628,0.27061307430267334,0.8632478713989258,0.862708330154419,0.8258333206176758,0.9388124942779541,0.3250574469566345,0.8949494957923889,0.7383333444595337
18,0.8631250262260437,0.9524729251861572,0.0002500000118743628,0.2692136764526367,0.8654087781906128,0.8600000143051147,0.8383333086967468,0.9393957853317261,0.30269595980644226,0.8536585569381714,0.8166666626930237
19,0.8664583563804626,0.9549394249916077,0.0002500000118743628,0.2630378305912018,0.8663057088851929,0.8666666746139526,0.8341666460037231,0.937125027179718,0.3122096359729767,0.8638838529586792,0.7933333516120911
